Koordinatensystem : Lambert konform konisch
Rechtswert        : 3885500 Meter
Hochwert          : 2480500 Meter
Hoehenlage        : 120 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
3885500 2480500  1  3 16   4.0 1014 339  1.5 8  4.3  86    0   28 299 -327  0
3885500 2480500  1  3 17   4.0 1015 147  1.4 7  4.3  85    0    1 299 -324  0
3885500 2480500  1  3 18   3.7 1015 145  0.8 7  4.3  86    0    0 293 -322  0
3885500 2480500  1  3 19   3.4 1015 232  1.2 6  4.3  89    0    0 286 -320  0
3885500 2480500  1  3 20   3.5 1016  76  1.4 6  4.4  90    0    0 278 -318  0
3885500 2480500  1  3 21   2.7 1016 157  1.7 6  4.3  91    0    0 276 -317  0
3885500 2480500  1  3 22   2.3 1016 175  2.6 6  4.2  92    0    0 274 -316  0
3885500 2480500  1  3 23   1.7 1016 162  1.8 7  4.1  93    0    0 280 -316  0
3885500 2480500  1  3 24   1.5 1016 164  2.2 4  4.0  94    0    0 268 -316  0
3885500 2480500  1  4  1   1.3 1016 167  2.1 5  3.9  93    0    0 259 -316  0
3885500 2480500  1  4  2   0.8 1016 186  2.4 6  3.8  93    0    0 269 -315  0
3885500 2480500  1  4  3  -0.1 1015 132  2.2 7  3.7  94    0    0 277 -315  0
3885500 2480500  1  4  4  -0.5 1015  51  2.6 6  3.5  95    0    0 274 -315  0
3885500 2480500  1  4  5  -1.0 1015  58  2.7 6  3.5  97    0    0 267 -315  0
3885500 2480500  1  4  6  -1.5 1015  43  3.5 4  3.4  97    0    0 256 -315  0
3885500 2480500  1  4  7  -1.5 1015  42  3.8 4  3.2  96    0    0 246 -315  0
3885500 2480500  1  4  8  -1.7 1015  48  2.6 3  3.2  95    0    0 243 -315  0
3885500 2480500  1  4  9  -2.0 1015  47  1.9 5  3.2  97    0    0 247 -315  0
3885500 2480500  1  4 10  -1.6 1015  45  2.6 7  3.2  97    7   53 268 -315  0
3885500 2480500  1  4 11  -1.3 1015  49  3.3 7  3.2  94    0   70 278 -316  0
3885500 2480500  1  4 12  -0.8 1015  55  3.4 8  3.2  92    0   76 285 -317  0
3885500 2480500  1  4 13  -0.2 1014  62  4.3 8  3.3  90    5  106 293 -320  0
3885500 2480500  1  4 14   0.5 1013  70  4.3 6  3.4  90    3   97 285 -322  0
3885500 2480500  1  4 15   1.4 1013  72  3.3 4  3.6  88   87   36 265 -322  0
3885500 2480500  1  4 16   1.3 1012  68  4.1 6  3.6  87   23   35 267 -321  0
3885500 2480500  1  4 17   1.1 1012  62  4.2 7  3.6  86    0    1 283 -319  0
3885500 2480500  1  4 18   1.1 1012  67  4.1 7  3.5  86    0    0 289 -317  0
3885500 2480500  1  4 19   1.3 1012  70  4.1 7  3.5  85    0    0 290 -316  0
3885500 2480500  1  4 20   1.7 1011  72  4.5 7  3.5  82    0    0 291 -316  0
3885500 2480500  1  4 21   1.8 1011  74  4.7 7  3.4  80    0    0 292 -316  0
3885500 2480500  1  4 22   1.5 1011  74  5.5 7  3.4  79    0    0 293 -316  0
3885500 2480500  1  4 23   1.2 1010  71  5.7 7  3.5  82    0    0 293 -316  0
3885500 2480500  1  4 24   1.0 1010  73  5.2 8  3.5  86    0    0 300 -316  0
3885500 2480500  1  5  1   0.8 1009  72  5.6 7  3.5  87    0    0 298 -316  0
3885500 2480500  1  5  2   1.0 1008  75  6.4 8  3.5  86    0    0 298 -316  0
3885500 2480500  1  5  3   1.1 1008  75  5.9 8  3.4  83    0    0 304 -316  0
3885500 2480500  1  5  4   1.2 1007  78  6.4 8  3.3  80    0    0 304 -316  0
3885500 2480500  1  5  5   1.4 1007  76  6.2 8  3.3  79    0    0 303 -316  0
3885500 2480500  1  5  6   1.4 1006  74  5.4 8  3.3  78    0    0 304 -316  0
3885500 2480500  1  5  7   1.5 1006  70  4.8 7  3.3  78    0    0 298 -316  0
3885500 2480500  1  5  8   1.4 1006  66  5.0 7  3.3  78    0    0 291 -315  0
3885500 2480500  1  5  9   1.4 1005  65  4.5 7  3.3  78    0    0 291 -315  0
3885500 2480500  1  5 10   1.7 1005  69  4.7 8  3.3  78    0   23 298 -316  0
3885500 2480500  1  5 11   2.0 1005  59  4.2 7  3.3  77    0   36 298 -317  0
3885500 2480500  1  5 12   2.1 1005  64  3.9 7  3.4  76    0   43 292 -320  0
3885500 2480500  1  5 13   2.4 1004  86  3.5 7  3.4  76    0   61 293 -323  0
3885500 2480500  1  5 14   2.8 1003  80  3.7 6  3.5  75    0   72 288 -324  0
3885500 2480500  1  5 15   2.7 1003  93  4.3 7  3.5  75    0   58 289 -325  0
3885500 2480500  1  5 16   2.6 1003  98  3.8 7  3.5  75    0   30 295 -324  0
3885500 2480500  1  5 17   2.4 1003  98  3.6 7  3.5  76    0    1 294 -323  0
3885500 2480500  1  5 18   1.8 1003  86  3.7 7  3.4  77    0    0 294 -322  0
3885500 2480500  1  5 19   0.8 1003  62  3.3 5  3.3  80    0    0 278 -320  0
3885500 2480500  1  5 20   0.3 1003  83  3.8 5  3.3  82    0    0 263 -319  0
3885500 2480500  1  5 21   0.4 1003  89  4.4 3  3.2  80    0    0 251 -317  0
3885500 2480500  1  5 22  -0.1 1003 132  4.4 2  3.0  79    0    0 236 -315  0
3885500 2480500  1  5 23  -0.7 1003 103  3.9 1  3.0  80    0    0 225 -315  0
3885500 2480500  1  5 24  -1.2 1003 110  3.2 1  2.9  82    0    0 219 -314  0
3885500 2480500  1  6  1  -1.2 1004 104  4.3 2  3.0  85    0    0 226 -311  0
3885500 2480500  1  6  2  -1.3 1004 105  4.1 3  3.1  88    0    0 235 -310  0
3885500 2480500  1  6  3  -1.6 1004  77  3.8 7  3.1  90    0    0 258 -310  0
3885500 2480500  1  6  4  -0.8 1004 131  3.4 8  3.2  91    0    0 282 -310  0
3885500 2480500  1  6  5  -0.4 1004  91  2.1 5  3.2  88    0    0 273 -309  0
3885500 2480500  1  6  6   0.0 1004  83  2.3 8  3.2  84    0    0 274 -309  0
3885500 2480500  1  6  7   0.1 1004 104  2.6 7  3.2  83    0    0 283 -307  0
3885500 2480500  1  6  8   0.4 1004  83  2.5 7  3.2  82    0    0 278 -305  0
3885500 2480500  1  6  9   0.4 1005  82  2.7 8  3.3  83    0    0 283 -302  0
3885500 2480500  1  6 10   0.8 1005  88  2.4 6  3.3  83    2   59 279 -301  0
3885500 2480500  1  6 11   1.7 1006  92  3.2 6  3.3  80    3   93 271 -303  0
3885500 2480500  1  6 12   2.4 1006  56  3.5 5  3.4  76    4  119 269 -308  0
3885500 2480500  1  6 13   2.5 1006  60  2.9 5  3.4  74    7  138 265 -312  0
3885500 2480500  1  6 14   2.5 1006  62  3.2 4  3.4  74   14  141 260 -314  0
3885500 2480500  1  6 15   2.5 1006 102  2.3 4  3.3  73   26  107 256 -314  0
3885500 2480500  1  6 16   2.5 1007 101  3.4 8  3.3  72   14   63 274 -314  0
3885500 2480500  1  6 17   1.8 1007  94  3.8 8  3.3  73    0    6 291 -312  0
3885500 2480500  1  6 18   1.7 1007 117  3.9 8  3.2  74    0    0 289 -309  0
3885500 2480500  1  6 19   1.8 1007  88  3.8 8  3.2  75    0    0 289 -307  0
3885500 2480500  1  6 20   1.9 1008  83  4.0 8  3.3  75    0    0 290 -305  0
3885500 2480500  1  6 21   1.8 1008  89  3.0 8  3.2  74    0    0 290 -303  0
3885500 2480500  1  6 22   1.4 1008  83  3.1 8  3.1  73    0    0 290 -302  0
3885500 2480500  1  6 23  -1.8 1009  76  1.3 8  3.0  80    0    0 285 -301  0
3885500 2480500  1  6 24  -1.3 1009  85  0.9 8  3.0  89    0    0 283 -301  0
3885500 2480500  1  7  1  -1.5 1009  49  2.0 8  3.1  90    0    0 285 -300  0
3885500 2480500  1  7  2  -2.4 1009 128  2.1 8  3.0  90    0    0 284 -300  0
3885500 2480500  1  7  3  -2.8 1010  98  1.8 8  2.9  91    0    0 284 -300  0
3885500 2480500  1  7  4  -3.0 1010 128  2.7 8  2.8  92    0    0 283 -299  0
3885500 2480500  1  7  5  -2.8 1010  51  2.1 8  2.9  94    0    0 285 -299  0
3885500 2480500  1  7  6  -2.7 1010  79  1.8 8  2.9  94    0    0 285 -298  0
3885500 2480500  1  7  7  -2.6 1010 100  0.8 8  2.9  93    0    0 286 -298  0
3885500 2480500  1  7  8  -2.4 1011 113  0.7 8  2.9  92    0    0 287 -297  0
3885500 2480500  1  7  9  -2.5 1011 127  1.5 8  2.9  92    0    0 287 -297  0
3885500 2480500  1  7 10  -2.7 1012 106  2.1 6  2.9  91    9   72 276 -297  0
3885500 2480500  1  7 11  -2.4 1012 130  2.1 5  2.8  89   13  115 259 -299  0
3885500 2480500  1  7 12  -1.6 1013 125  1.2 5  2.8  85   17  148 254 -303  0
3885500 2480500  1  7 13  -0.4 1012 102  1.1 5  2.9  81   31  175 257 -307  0
3885500 2480500  1  7 14   0.1 1012  95  2.3 4  3.0  80   53  157 255 -311  0
3885500 2480500  1  7 15   1.4 1012  77  3.6 4  3.1  77   32  118 251 -312  0
3885500 2480500  1  7 16   1.5 1012  67  3.0 7  3.1  74   12   64 270 -311  0
3885500 2480500  1  7 17   1.2 1012  74  2.4 7  3.1  73    0    7 287 -309  0
3885500 2480500  1  7 18   1.3 1012  87  2.4 7  3.0  73    0    0 286 -306  0
3885500 2480500  1  7 19   1.0 1012  76  1.7 8  3.0  73    0    0 292 -303  0
3885500 2480500  1  7 20   0.9 1012 104  1.3 8  3.0  75    0    0 298 -300  0
3885500 2480500  1  7 21   0.9 1012  73  2.3 8  3.1  76    0    0 298 -298  0
3885500 2480500  1  7 22   1.3 1012  27  3.1 8  3.1  76    0    0 298 -296  0
3885500 2480500  1  7 23   1.2 1012 321  2.9 8  3.1  74    0    0 298 -294  0
3885500 2480500  1  7 24   0.9 1012   1  3.0 8  3.0  73    0    0 297 -292  0
3885500 2480500  1  8  1   0.7 1012  37  2.3 8  2.9  72    0    0 295 -289  0
3885500 2480500  1  8  2   0.7 1012  19  3.1 8  2.9  73    0    0 293 -289  0
3885500 2480500  1  8  3   0.1 1012  13  3.7 5  2.8  73    0    0 276 -290  0
3885500 2480500  1  8  4  -0.4 1012  11  2.4 8  2.7  72    0    0 274 -290  0
3885500 2480500  1  8  5  -0.7 1012  22  3.5 8  2.6  72    0    0 287 -289  0
3885500 2480500  1  8  6  -3.2 1012  41  2.2 4  2.6  78    0    0 263 -289  0
3885500 2480500  1  8  7  -4.4 1012  34  2.4 5  2.5  89    0    0 241 -289  0
3885500 2480500  1  8  8  -4.2 1012  58  1.2 5  2.6  93    0    0 245 -289  0
3885500 2480500  1  8  9  -4.6 1012  17  1.0 3  2.5  93    0    0 234 -288  0
3885500 2480500  1  8 10  -3.1 1013  24  0.7 2  2.7  94   50   65 220 -289  0
3885500 2480500  1  8 11  -2.5 1014  58  1.0 2  2.9  94  102  101 218 -294  0
3885500 2480500  1  8 12   0.3 1014  31  1.1 2  2.9  84  147  124 221 -300  0
3885500 2480500  1  8 13   1.4 1014  30  1.4 1  2.9  72  175  127 222 -306  0
3885500 2480500  1  8 14   2.4 1013  52  1.7 1  2.9  67  165  118 220 -310  0
3885500 2480500  1  8 15   2.3 1013  49  2.1 1  3.0  66  122   96 224 -311  0
3885500 2480500  1  8 16   1.3 1013  62  1.5 1  2.9  67   57   61 223 -311  0
3885500 2480500  1  8 17  -0.8 1014  39  1.7 2  2.8  73    4   12 224 -308  0
3885500 2480500  1  8 18  -1.9 1014  57  1.5 1  2.8  82    0    0 221 -305  0
3885500 2480500  1  8 19  -2.3 1014  69  1.8 2  2.8  86    0    0 219 -303  0
3885500 2480500  1  8 20  -2.8 1015  72  1.4 2  2.8  89    0    0 223 -302  0
3885500 2480500  1  8 21  -2.8 1015  69  1.1 0  2.8  90    0    0 213 -300  0
3885500 2480500  1  8 22  -3.7 1015  69  0.5 0  2.7  90    0    0 204 -299  0
3885500 2480500  1  8 23  -3.9 1014  60  2.0 0  2.6  90    0    0 203 -297  0
3885500 2480500  1  8 24  -3.5 1014  58  3.1 0  2.6  90    0    0 204 -296  0
3885500 2480500  1  9  1  -4.1 1014  48  2.3 0  2.6  90    0    0 204 -295  0
3885500 2480500  1  9  2  -4.0 1014  54  2.0 0  2.5  90    0    0 203 -294  0
3885500 2480500  1  9  3  -4.4 1014  19  2.2 4  2.5  91    0    0 220 -293  0
3885500 2480500  1  9  4  -4.5 1014  27  2.3 1  2.5  91    0    0 224 -292  0
3885500 2480500  1  9  5  -5.0 1014  25  1.1 4  2.4  91    0    0 223 -291  0
3885500 2480500  1  9  6  -5.7 1014  13  1.3 2  2.3  90    0    0 226 -290  0
3885500 2480500  1  9  7  -6.3 1014 358  0.2 5  2.1  88    0    0 229 -289  0
3885500 2480500  1  9  8  -6.4 1015 323  1.3 4  2.1  89    0    0 237 -287  0
3885500 2480500  1  9  9  -6.0 1015 290  1.1 4  2.2  90    0    0 233 -286  0
3885500 2480500  1  9 10  -5.3 1015 286  1.5 3  2.3  91   11   77 231 -287  0
3885500 2480500  1  9 11  -3.9 1015 291  1.6 4  2.5  92   15  122 234 -292  0
3885500 2480500  1  9 12  -2.8 1016 311  1.5 4  2.7  92   19  155 243 -299  0
3885500 2480500  1  9 13  -1.8 1016 311  0.8 4  2.9  91   21  167 247 -306  0
3885500 2480500  1  9 14  -1.2 1016 309  1.9 4  3.0  87   42  144 250 -309  0
3885500 2480500  1  9 15  -0.7 1015 331  1.9 7  2.9  82    0   41 267 -311  0
3885500 2480500  1  9 16  -0.4 1015 340  1.7 6  2.8  78    0   30 280 -310  0
3885500 2480500  1  9 17  -0.4 1015  18  1.8 7  2.9  78    0    9 281 -306  0
3885500 2480500  1  9 18  -1.5 1016 345  1.5 6  2.9  82    0    0 279 -301  0
3885500 2480500  1  9 19  -1.6 1016 343  1.1 6  2.9  86    0    0 272 -297  0
3885500 2480500  1  9 20  -1.6 1016 327  1.1 6  2.9  86    0    0 272 -295  0
3885500 2480500  1  9 21  -1.5 1016 341  1.4 6  2.9  86    0    0 273 -294  0
3885500 2480500  1  9 22  -1.5 1016 329  1.3 5  2.9  86    0    0 268 -293  0
3885500 2480500  1  9 23  -1.6 1016 316  1.2 6  2.9  86    0    0 267 -291  0
3885500 2480500  1  9 24  -1.4 1017 303  1.3 2  2.9  87    0    0 253 -289  0
3885500 2480500  1 10  1  -1.5 1017 313  1.5 4  3.0  87    0    0 243 -288  0
3885500 2480500  1 10  2  -1.7 1017 296  2.1 6  2.9  88    0    0 261 -288  0
3885500 2480500  1 10  3  -1.8 1017 289  2.1 4  2.9  87    0    0 260 -286  0
3885500 2480500  1 10  4  -2.2 1017 306  2.3 3  2.8  87    0    0 246 -285  0
3885500 2480500  1 10  5  -3.0 1017 286  2.8 4  2.7  88    0    0 244 -284  0
3885500 2480500  1 10  6  -3.5 1016 315  2.7 7  2.7  90    0    0 260 -284  0
3885500 2480500  1 10  7  -3.7 1016 321  2.1 8  2.6  91    0    0 276 -282  0
3885500 2480500  1 10  8  -3.9 1017 317  1.9 8  2.6  92    0    0 280 -282  0
3885500 2480500  1 10  9  -3.8 1017 296  1.6 7  2.6  93    0    0 273 -283  0
3885500 2480500  1 10 10  -3.8 1018  45  1.7 8  2.6  92    0   49 274 -285  0
3885500 2480500  1 10 11  -3.4 1018 246  1.4 8  2.6  92    0   64 278 -289  0
3885500 2480500  1 10 12  -3.1 1018  27  2.1 8  2.7  90    0   70 278 -297  0
3885500 2480500  1 10 13  -3.0 1018 300  1.6 6  2.6  88    0   98 266 -305  0
3885500 2480500  1 10 14  -2.9 1018 343  1.0 6  2.6  87   10  102 255 -309  0
3885500 2480500  1 10 15  -2.9 1018  44  1.1 6  2.7  88    9   84 253 -311  0
3885500 2480500  1 10 16  -3.2 1017  37  1.5 7  2.6  88    1   46 255 -309  0
3885500 2480500  1 10 17  -3.1 1017  14  1.3 8  2.6  88    0    7 262 -305  0
3885500 2480500  1 10 18  -2.9 1017  22  0.6 8  2.7  88    0    0 267 -298  0
3885500 2480500  1 10 19  -2.9 1018  28  1.0 8  2.7  89    0    0 267 -294  0
3885500 2480500  1 10 20  -2.7 1018  33  1.1 8  2.7  89    0    0 267 -291  0
3885500 2480500  1 10 21  -2.6 1019  26  0.4 8  2.8  89    0    0 267 -290  0
3885500 2480500  1 10 22  -2.5 1019  15  1.3 8  2.8  89    0    0 266 -289  0
3885500 2480500  1 10 23  -2.5 1018 341  0.6 8  2.8  90    0    0 266 -287  0
3885500 2480500  1 10 24  -2.7 1018 333  0.7 4  2.8  90    0    0 250 -284  0
3885500 2480500  1 11  1  -3.1 1018 227  1.9 5  2.8  91    0    0 238 -282  0
3885500 2480500  1 11  2  -3.8 1017 196  1.7 7  2.7  92    0    0 250 -280  0
3885500 2480500  1 11  3  -4.0 1017 227  1.7 4  2.7  94    0    0 245 -279  0
3885500 2480500  1 11  4  -4.1 1017 234  1.8 8  2.7  97    0    0 250 -281  0
3885500 2480500  1 11  5  -4.3 1016 256  2.2 6  2.7  99    0    0 259 -284  0
3885500 2480500  1 11  6  -4.1 1016 254  1.9 7  2.7  98    0    0 255 -283  0
3885500 2480500  1 11  7  -4.3 1016 277  2.1 8  2.7  99    0    0 263 -282  0
3885500 2480500  1 11  8  -4.6 1016 262  2.8 8  2.7  98    0    0 266 -281  0
3885500 2480500  1 11  9  -4.2 1016 258  2.7 7  2.6  97    0    0 262 -281  0
3885500 2480500  1 11 10  -4.1 1017 240  2.5 7  2.7  98    0   51 259 -283  0
3885500 2480500  1 11 11  -4.0 1017 241  2.1 7  2.7  97    0   70 258 -288  0
3885500 2480500  1 11 12  -3.6 1017 214  2.1 8  2.8  97    0   83 262 -295  0
3885500 2480500  1 11 13  -3.6 1016 245  2.1 7  2.8  96    0  110 261 -302  0
3885500 2480500  1 11 14  -2.7 1017 235  2.1 5  2.8  95   79  114 251 -306  0
3885500 2480500  1 11 15  -1.0 1016 224  2.6 3  2.9  89  111   89 241 -308  0
3885500 2480500  1 11 16  -0.6 1016 211  2.7 4  2.9  81   46   60 243 -307  0
3885500 2480500  1 11 17  -1.1 1015 184  3.4 5  2.9  81    0   12 249 -303  0
3885500 2480500  1 11 18  -1.5 1015 173  2.8 6  2.9  84    0    0 255 -299  0
3885500 2480500  1 11 19  -2.2 1016 193  2.7 7  2.9  87    0    0 260 -298  0
3885500 2480500  1 11 20  -2.6 1016 210  1.7 7  2.9  90    0    0 262 -297  0
3885500 2480500  1 11 21  -1.8 1016 225  2.7 8  2.9  92    0    0 267 -297  0
